game_id,game_date,home_team,away_team,start_time,hour,minute,second,actual_hour
2020_06_KC_BUF,10/19/2020,BUF,KC,17:05:38,17,5,38,20
2020_12_BAL_PIT,12/2/2020,PIT,BAL,15:40:31,15,40,31,20
2020_12_HOU_DET,11/26/2020,DET,HOU,12:35:34,12,35,34,12
2020_13_WAS_PIT,12/7/2020,PIT,WAS,17:05:33,17,5,33,13
2021_05_NYJ_ATL,10/10/2021,ATL,NYJ,9:35:26,9,35,26,9
2021_06_MIA_JAX,10/17/2021,JAX,MIA,9:37:04,9,37,4,13
2021_12_CHI_DET,11/25/2021,DET,CHI,12:35:52,12,35,52,12
2021_15_LV_CLE,12/20/2021,CLE,LV,17:03:29,17,3,29,17
2021_15_SEA_LA,12/21/2021,LA,SEA,19:05:34,19,5,34,16
2021_15_WAS_PHI,12/21/2021,PHI,WAS,19:05:29,19,5,29,19
2022_02_TEN_BUF,9/19/2022,BUF,TEN,19:15:37,19,15,37,19
2022_04_MIN_NO,10/2/2022,NO,MIN,9:33:38,9,33,38,9
2022_05_NYG_GB,10/9/2022,GB,NYG,9:32:59,9,32,59,9
2022_08_DEN_JAX,10/30/2022,JAX,DEN,9:31:09,9,31,9,9
2022_10_SEA_TB,11/13/2022,TB,SEA,9:32:32,9,32,32,9
2022_12_BUF_DET,11/24/2022,DET,BUF,12:35:25,12,35,25,12
2022_16_HOU_TEN,12/24/2022,TEN,HOU,14:02:26,14,2,26,13
2023_02_NO_CAR,9/18/2023,CAR,NO,19:15:34,19,15,34,19
2023_03_PHI_TB,9/25/2023,TB,PHI,19:15:32,19,15,32,19
2023_04_ATL_JAX,10/1/2023,JAX,ATL,9:32:54,9,32,54,9
2023_05_JAX_BUF,10/8/2023,BUF,JAX,9:32:35,9,32,35,9
2023_06_BAL_TEN,10/15/2023,TEN,BAL,9:32:40,9,32,40,9
2023_09_MIA_KC,11/5/2023,KC,MIA,9:32:30,9,32,30,9
2023_10_IND_NE,11/12/2023,NE,IND,9:32:57,9,32,57,9
2023_12_GB_DET,11/23/2023,DET,GB,12:35:39,12,35,39,12
2023_12_MIA_NYJ,11/24/2023,NYJ,MIA,15:03:11,15,3,11,15
2024_03_JAX_BUF,9/23/2024,BUF,JAX,19:30:15,19,30,15,19
2024_04_TEN_MIA,9/30/2024,MIA,TEN,19:31:04,19,31,4,19
2024_05_DAL_PIT,10/6/2024,PIT,DAL,21:46:19,21,46,19,20
2024_05_NYJ_MIN,10/6/2024,MIN,NYJ,9:32:24,9,32,24,9
2024_06_JAX_CHI,10/13/2024,CHI,JAX,9:32:24,9,32,24,9
2024_07_LAC_ARI,10/21/2024,ARI,LAC,21:00:26,21,0,26,21
2024_07_NE_JAX,10/20/2024,JAX,NE,9:32:30,9,32,30,9
2024_10_NYG_CAR,11/10/2024,CAR,NYG,9:32:40,9,32,40,9
2024_13_CHI_DET,11/28/2024,DET,CHI,12:36:02,12,36,2,12
2024_13_LV_KC,11/29/2024,KC,LV,15:03:35,15,3,35,15
